-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\ModelInterface.java,nameInDictionary,comp533.model.ModelInterface,comp
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\ModelInterface.java,nameInDictionary,comp533.model.ModelInterface,model
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\ModelInterface.java,nameInDictionary,comp533.model.ModelInterface,interface
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\ModelInterface.java,nameInDictionary,newInputString,new
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\ModelInterface.java,nameInDictionary,newInputString,input
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\ModelInterface.java,nameInDictionary,newInputString,string
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\ModelInterface.java,nameInDictionary,view,view
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,comp533.model.SumModel,comp
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,comp533.model.SumModel,model
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,comp533.model.SumModel,sum
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,inputString,input
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,inputString,string
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,result,result
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,propertyChangeSupport,property
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,propertyChangeSupport,change
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,propertyChangeSupport,support
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,oldInputString,old
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,oldInputString,input
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,oldInputString,string
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,SetInputStringEvent,set
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,SetInputStringEvent,input
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,SetInputStringEvent,string
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,SetInputStringEvent,event
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,newInputString,new
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,newInputString,input
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,newInputString,string
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,view,view
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,oldResult,old
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,oldResult,result
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,tokens,tokens
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,tokensList,tokens
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,tokensList,list
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,mappedKeyValue,mapped
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,mappedKeyValue,key
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,mappedKeyValue,value
